"TargetModule","Coverage"
"algorithms.sort.quick_sort","1.0"
"algorithms.sort.bitonic_sort","0.9230769230769231"
"algorithms.sort.bogo_sort","1.0"
"algorithms.sort.bubble_sort","0.9285714285714286"
"algorithms.dp.longest_increasing","0.7692307692307693"
"algorithms.dp.longest_common_subsequence","1.0"
"algorithms.graph.clone_graph","0.9354838709677419"
"algorithms.tree.avl.avl","0.8666666666666667"
"algorithms.graph.satisfiability","0.42592592592592593"
"algorithms.dp.num_decodings","1.0"
"algorithms.graph.traversal","0.9259259259259259"
