Commit,High_Confidence,Medium_Confidence,Low_Confidence,High_Severity,Medium_Severity,Low_Severity,CWEs
000090d02f0398e9087a8823fc1f5242becfac99,11,0,0,1,2,8,"78, 703, 22"
02541ac9e8382f4d8e17f1f2ba0d7de2c792390c,4,0,0,0,0,4,703
073afd5931d6672ff4899429f83a881ff8182fe2,14,0,0,0,1,13,"78, 703, 22"
07bddf918a7212a25b67269132e8838f04e8b6c6,14,0,0,0,1,13,"78, 703, 22"
08f4c802c450708a86a92b226cba5663be81aead,1,0,0,0,0,1,703
0dfb28174333d9eefb7c1dd4292690a8458d1e89,3,0,0,0,0,3,703
180ff782dd232ab78c0c153ac1c8cf8f7c78935e,11,0,0,1,2,8,"78, 703, 22"
1a7f4dfa9e51f6a90177a3244a5bc9c687894cdd,11,0,0,1,2,8,"78, 703, 22"
20b84d636324f00e53923d555a559e965683d4ba,31,0,0,0,0,31,703
22c0358f4ba7999a15dbe27989ce163e5edb5693,11,0,0,1,2,8,"78, 703, 22"
241c682c9f807dd5e2667830ced93fdaa9cc3843,14,0,0,0,1,13,"78, 703, 22"
27f501dbe011f4371bff938fe7e09311ab3002fa,53,0,0,0,0,53,703
284e2c6e5beff017996d72de6e028b2dc605acf8,6,0,0,0,0,6,703
2a204125ae71d2010bd3c9634d72a81c63967f3b,50,0,0,1,2,47,"78, 703, 22"
2ac6c986bea5ffe46c606a7782aaf9e0401b599f,23,0,0,0,0,23,703
30e1ef0f79418af5ad52987e49d691f0d4519c46,11,0,0,0,0,11,703
3edf7e0daa62662cd2dd2ec8fd999dd7f254415c,11,0,0,1,2,8,"78, 703, 22"
40cbd529e4ef4c09abc923ab6166b30cda841550,11,0,0,1,2,8,"78, 703, 22"
40fa35acd8269ebc4777e682f8bfb690f1f12bb5,11,0,0,1,2,8,"78, 703, 22"
42f2b8be34a155a5ad7256fc10ce9e90613154e7,14,0,0,0,1,13,"78, 703, 22"
454ce31594aaf0978e394ff9a21635b6f6ce56c4,11,0,0,1,2,8,"78, 703, 22"
48b3acbc44e8fd66b804d695f526c2be3586a760,1,0,0,0,0,1,703
4b5eeab1222ab8faab3024f408e90d1f6563eae1,23,0,0,0,0,23,703
4e8496a78179416ea18ae111508dfa4341dc1e37,37,0,0,0,0,37,703
518e919a60782fb3476eb0c68210213fd412900f,11,0,0,1,2,8,"78, 703, 22"
5231d95fe13733fb534c01895f7ea88c6a6c7793,0,0,0,0,0,0,
5458c78e6da05138d76a4f67b5d339ede1b43e9e,37,0,0,0,0,37,703
5639b9d26dac63d912d6815cb4369250f6cef764,9,0,0,0,0,9,703
58ebfa5865516c7fb4ad83783501c802484260bb,19,0,0,1,2,16,"78, 703, 22"
5f525322ec9dda3a20ce8b6ccbca09280fa4e8c1,19,0,0,1,2,16,"78, 703, 22"
641db759ab7168e472909bc9ff1eda4a329de34f,0,0,0,0,0,0,
66dcc767efd5182215e1c68d545f68308d2e4003,3,0,0,0,0,3,703
6752d62aa4196fe27cda621e80bcf8a10e03b206,34,0,0,1,2,31,"78, 703, 22"
6aed835dd9ba0184db43712d73e40b7dec34878d,1,0,0,0,0,1,703
6b1d059eda21c1bd421f3d352786fca2cab61954,14,0,0,0,1,13,"78, 703, 22"
6c87fac478de8ba7d6d43cc064b3bd0f701ae6eb,1,0,0,0,0,1,703
6ffeb572b1b9f982ef6d9c4ffaf880aee4e2b545,14,0,0,0,1,13,"78, 703, 22"
7153673c1a3c7753c38e4c10ef2c98a02be5f778,0,0,0,0,0,0,
77ad12d24e3bdeda5490fd2120128c7b458aba55,48,0,0,0,0,48,703
7a802796e12ab36fc9830089c418497c1552bd53,56,0,0,1,2,53,"78, 703, 22"
7ae5f8c8fe0c518ec0039352c07118c83bd33f1f,40,0,0,1,2,37,"78, 703, 22"
7b4e68e04f40e07dfe846d40f06fd4cc498a3e32,6,0,0,0,0,6,703
7bc3f031a40ffc7b198930b69cf21a4588b4d2f9,11,0,0,1,2,8,"78, 703, 22"
81643fa0ea63908064e26251b573cd315ca434fe,23,0,0,0,0,23,703
83e41b3ca497aa9e5df94eb9faf2593387c87496,3,0,0,0,0,3,703
8476986721ca38a0f56766d925fad12ae0ae9358,11,0,0,1,2,8,"78, 703, 22"
84f1287e42f84697f655808db3de5841c53d97e6,0,0,0,0,0,0,
86688236356ad19f560a698525c47f99b06531f2,11,0,0,1,2,8,"78, 703, 22"
893a22ab5703ab3d61eda256f3a9a73a66b4444c,23,0,0,0,0,23,703
89c5a7dd4e6a8644575bd0c04a286f48c42763ec,0,0,0,0,0,0,
8c20cfef497aa4e88940b92476a6a625e9fc87f5,29,0,0,0,0,29,703
8cbc8a042f128efc0fae94e678762bdff789a43d,38,0,0,0,0,38,703
8dd0b479d52e18e2d4407f1734da619ca269d965,11,0,0,1,2,8,"78, 703, 22"
90f27a29dd1db73b474112854730a7894b8c7f9b,23,0,0,0,0,23,703
91917b406bcf5b87dc88d67e4a37b3e80adf7d25,1,0,0,0,0,1,703
9375ac9322102ecd9441a0f27fb823df1e0c8650,14,0,0,0,1,13,"78, 703, 22"
9505c7436eab3d9469c9d3646cfe19f8e3d27c7b,1,0,0,0,0,1,703
979702c87a8713a8e0a5e9fee122b90d2ef13be5,0,0,0,0,0,0,
