Commit,High_Confidence,Medium_Confidence,Low_Confidence,High_Severity,Medium_Severity,Low_Severity,CWEs
00c359740c00020788331df3de7cb9cd42564bbd,0,0,0,0,0,0,
02a07a01db68494503b6beabcf4c507cf997b876,56,0,0,0,0,56,703
0310503931ec0fc6dbee4b5755a7a4a3ed7c71c8,0,0,0,0,0,0,
03784347ff9cff6ef7e38772eb95fa4f4ebf3cd0,0,0,0,0,0,0,
03aeda3550b3d19890018fffeaf9cf6084f8d8b7,1,0,0,0,0,1,703
0727bddce4a54ed57146ca29ab248a90eb7a5a79,10,0,0,0,0,10,703
07bb136cd84dfb194a55021b1773b170c7347d79,39,1,0,0,2,38,"259, 78, 703"
0d62c6f10d295ba4804036c3f73ff7b4db05c070,56,0,0,0,0,56,703
0e735866ad33bcf0ffae2ae81a1431143d73cd4c,10,0,0,0,0,10,703
0f7b14b787eb4249b93e2abd5da23cc953b1e091,8,0,0,0,0,8,703
10be7d45ca3febf5e05c11ee0185f05856956dac,56,0,0,0,0,56,703
111b8f9bab8a30248be5d4e019ac3c69843571c6,56,0,0,0,0,56,703
134b993a132174b0dca9b6a49c5a05ac0b487a7a,14,0,0,0,2,12,"78, 703"
1d09aefad1a3aa4ba06ee39e0001e56086f1ac5b,1,0,0,0,0,1,703
1dc015d50edce2956b1be82858c9eef96f7d56a9,66,0,0,0,0,66,703
20216b014de9f647d1ae5e8435c5210bd7fe39be,218,24,0,0,0,242,"259, 703, 330"
22d76008684eb767f426908abaaf2676f0c71295,56,0,0,0,0,56,703
232d9d4c9eba2aef364fc3fef4c8bb45d85e8a05,56,0,0,0,0,56,703
244a44965dc49bb784f691a3b22fac9979245290,60,0,0,0,0,60,"78, 703"
25088599cdea13773ca0a623fe8f183db2912821,56,0,0,0,0,56,703
251370ceab5956e943244258566f23331ce9e897,13,0,0,0,0,13,703
2569df3c505054328302d40515f7e97183e6f2e1,0,0,0,0,0,0,
26ed9ddea0997f4877c23500df2579f2759e1a1a,3,0,0,0,0,3,703
2acd61b1d4a53a0e34096f214b6b4fb3312986ed,0,0,0,0,0,0,
2b67aeca1d6643bfefab55d5c16d109d2bbd3c46,20,0,0,0,0,20,703
38e19e00df12c1c4031e6b16524ef7da1499bfe3,56,0,0,0,0,56,703
