Commit,High_Confidence,Medium_Confidence,Low_Confidence,High_Severity,Medium_Severity,Low_Severity,CWEs
002dcf30782b2db1f7699158c2619d8db3f7592a,18,0,0,0,0,18,"78, 703"
006528934c7feed3be71ca3ae2847ece7727d729,9,0,0,0,0,9,703
01e24460fd07c6d712c272082a1bc7d8e68c615b,10,0,0,0,0,10,703
01ebcafc2c4af696e07f07f34effed12cb8be712,37,0,0,0,0,37,703
02fe97dd9a243a36d9a4dcb5e6fceb751586ac39,12,0,0,0,0,12,703
04789eb7ac6dca7b5921608aa6cdc3a637876877,73,0,0,0,0,73,703
08e4cc6be174e6b54f7faa92f9ded0f332f8eee8,0,0,0,0,0,0,
09435378e4a7185515a4e082a58c1aef2307127a,9,0,0,0,0,9,703
123b09c28945c0a7c54c6cafce7cb1d097028cde,3,0,0,0,1,2,78
154ec5d2be02d105ea6c6b2c286a4e7ac316b7a8,2,0,0,0,0,2,703
167e96489a50f89ea09c2dde9abf4d1ca30292e2,1,0,0,0,0,1,703
195d7c97df51e74430c638b8e7fd9da5660bb58a,76,0,0,0,1,75,"78, 703"
19ab5ffdc7870543cfdb57bb3173c26898df0117,3,0,0,0,1,2,78
1a38fbaaf3edb00e8ee2dd0a906be1235395958d,44,0,0,0,1,43,"78, 703"
1aea1c57fdf0c4d681f95621a78abc74f397b437,1,0,0,0,0,1,703
1fae231927f86ef771d54cf5cb65167e4c1916c5,37,0,0,0,0,37,703
21a0a06be2629ef5bed2f8a68dda83033af890c3,0,0,0,0,0,0,
22bc40ea3fbc41ebf0299bd840f455a423225262,288,0,0,0,2,286,"78, 703"
262ca2a8c41fb1390d4a2f477f60bb002547df56,0,0,0,0,0,0,
26f04e284a80b7b7351186a1c0485e663bae6885,73,0,0,0,0,73,703
27c1f739af74a77fade17026e89e7b973069d588,0,0,0,0,0,0,
2ebca3f74650ac31266801e54471c30f896dc613,73,0,0,0,0,73,703
2f02a03ae85294356f4e1988330e7faf83d6a436,179,0,0,0,0,179,"78, 703"
2f50fa7b0ec605b1fa99ef69515d4db2de34bda6,2,0,0,0,0,2,703
